"Report.Date","Route","Time","Day","Location","Incident","Min.Delay","Min.Gap","Direction","Vehicle"
"2019-01-01",301,"1:08:00 AM","Tuesday","Queen/Braodview","Held By","6",13,"E/B","4193"
"2019-01-01",511,"1:30:00 AM","Tuesday","Bathurst/College","Investigation","5",10,"N/B","1038"
"2019-01-01",306,"1:40:00 AM","Tuesday","Dundas West stn.","Mechanical","8",16,"W/B","4146"
"2019-01-01",505,"3:10:00 AM","Tuesday","Lansdowne and Dundas","Mechanical","6",12,"E/B","8416"
"2019-01-01",310,"3:55:00 AM","Tuesday","Spadina and Lakshore","Held By","20",30,"N/B","4465"
"2019-01-01",505,"3:58:00 AM","Tuesday","Dundas and Sackville","Mechanical","20",40,"W/B","9200"
"2019-01-01",505,"5:58:00 AM","Tuesday","Dundas and Parliament","Utilized Off Route","6",12,"W/B","8934"
"2019-01-01",504,"8:25:00 AM","Tuesday","Leslie Barns","Late Leaving Garage","2",1,"W/B","4449"
"2019-01-01",510,"8:43:00 AM","Tuesday","Leslie Barns","Late Leaving Garage","4",11,"W/B","4446"
"2019-01-01",504,"8:50:00 AM","Tuesday","Leslie Barns","Late Leaving Garage","3",10,"W/B","4500"
"2019-01-01",504,"8:53:00 AM","Tuesday","Leslie Barns","Late Leaving Garage","5",12,"W/B","4405"
"2019-01-01",509,"8:53:00 AM","Tuesday","CNE loop","Mechanical","18",26,"W/B","4507"
"2019-01-01",510,"8:55:00 AM","Tuesday","Leslie Barns","Late Leaving Garage","6",14,"W/B","4407"
"2019-01-01",510,"8:57:00 AM","Tuesday","Leslie Barns","Late Leaving Garage","8",16,"W/B","4412"
"2019-01-01",504,"8:59:00 AM","Tuesday","Leslie Barns","Late Leaving Garage","8",15,"W/B","4474"
"2019-01-01",501,"9:01:00 AM","Tuesday","Leslie Barns","Late Leaving Garage","10",14,"W/B","4480"
"2019-01-01",510,"9:01:00 AM","Tuesday","Leslie Barns","Late Leaving Garage","8",15,"W/B","4435"
"2019-01-01",501,"9:03:00 AM","Tuesday","Leslie Barns","Late Leaving Garage","7",14,"W/B","4462"
"2019-01-01",510,"9:06:00 AM","Tuesday","Leslie Barns","Late Leaving Garage","6",13,"W/B","4421"
"2019-01-01",509,"9:15:00 AM","Tuesday","Leslie Barns","Late Leaving Garage","2",7,"W/B","4451"
"2019-01-01",504,"10:47:00 AM","Tuesday","King and Dufferin","Mechanical","8",16,"E/B","4438"
"2019-01-01",512,"11:20:00 AM","Tuesday","St. Clayr and Vaughan","Investigation","6",12,"E/B","4490"
"2019-01-01",501,"12:05:00 PM","Tuesday","Queen and Connaught","Mechanical","22",4,"W/B","4075"
"2019-01-01",501,"1:37:00 PM","Tuesday","QUEEN/DOVERCOURT","Mechanical","4",8,"E/B","4489"
"2019-01-01",501,"2:24:00 PM","Tuesday","QUEEN/JONES","Mechanical","4",8,"E/B","4495"
"2019-01-01",512,"4:41:00 PM","Tuesday","St. Clair and Dufferin","Held By","492",500,"E/B","4509"
"2019-01-01",501,"5:17:00 PM","Tuesday","QUEEN/JAMESON","Mechanical","4",8,"E/B","4077"
"2019-01-01",506,"6:06:00 PM","Tuesday","River and Gerrard","Held By","54",62,"E/B","4029"
"2019-01-01",511,"6:41:00 PM","Tuesday","King and Bathurst","Investigation","7",14,"S/B","1081"
"2019-01-01",505,"8:20:00 PM","Tuesday","broadview station","Mechanical","8",16,"W/B","8466"
"2019-01-01",511,"10:24:00 PM","Tuesday","Exhibition loop East","Investigation","8",16,"S/B","1325"
"2019-01-02",501,"4:27:00 AM","Wednesday","Queen and Woodfield","Mechanical","9",20,"E/B","4144"
"2019-01-02",501,"4:32:00 AM","Wednesday","Queen and Woodfield","Held By","5",15,"E/B","4089"
"2019-01-02",501,"4:55:00 AM","Wednesday","Jarvis / Quenn","Mechanical","8",16,"W/B","4135"
"2019-01-02",501,"4:59:00 AM","Wednesday","Queen and Woodfield","Mechanical","11",20,"W/B","4187"
"2019-01-02",501,"5:08:00 AM","Wednesday","Queen and Woodfield","Mechanical","3",13,"W/B","4050"
"2019-01-02",501,"5:45:00 AM","Wednesday","Russell Yard","Late Leaving Garage","4",9,"W/B","4091"
"2019-01-02",501,"5:49:00 AM","Wednesday","Queen and Woodfield","Mechanical","15",25,"W/B","4073"
"2019-01-02",504,"5:51:00 AM","Wednesday","Leslie Barns","Late Leaving Garage","10",14,"W/B","4435"
"2019-01-02",501,"6:07:00 AM","Wednesday","Queen and Woodfield","Mechanical","25",20,"E/B","4074"
"2019-01-02",502,"6:10:00 AM","Wednesday","Birchmount Division","Mechanical","16",26,"B/W","8480"
"2019-01-02",502,"6:32:00 AM","Wednesday","Birchmount","Mechanical","14",21,"B/W","9221"
"2019-01-02",502,"7:04:00 AM","Wednesday","Marlvern / Kingston","Mechanical","14",21,"B/W","8561"
"2019-01-02",501,"7:10:00 AM","Wednesday","Leslie Barns","Late Leaving Garage","16",24,"W/B","4503"
"2019-01-02",501,"7:20:00 AM","Wednesday","Leslie Barns","Late Leaving Garage","13",21,"W/B","4425"
"2019-01-02",506,"7:33:00 AM","Wednesday","Sterling and Dundas","Mechanical","12",18,"W/B","4169"
"2019-01-02",504,"7:35:00 AM","Wednesday","Leslie Barnes","Late Leaving Garage","7",10,"W/B","4428"
"2019-01-02",504,"7:36:00 AM","Wednesday","Leslie Barnes","Late Leaving Garage","4",10,"W/B","4445"
"2019-01-02",505,"11:54:00 AM","Wednesday","Dundas West (Edna)","Mechanical","6",12,"26","1276"
"2019-01-02",506,"12:21:00 PM","Wednesday","Main Station","Mechanical","6",12,"W/B","4065"
"2019-01-02",501,"1:28:00 PM","Wednesday","Queen and Connaught","Mechanical","5",10,"E/B","4077"
"2019-01-02",1,"3:26:00 PM","Wednesday","Queen and Logan","Investigation","23",28,"W/B","4204"
"2019-01-02",503,"3:38:00 PM","Wednesday","Queen & Broadview","Mechanical","12",24,"W/B","4074"
"2019-01-02",504,"7:01:00 PM","Wednesday","Dundas West Station","General Delay","6",12,"W/B","4477"
"2019-01-02",501,"7:18:00 PM","Wednesday","Humber Loop","Investigation","5",10,"E/B","4020"
"2019-01-02",501,"8:03:00 PM","Wednesday","Queen and Bathurst","Held By","14",19,"W/B","4103"
"2019-01-02",506,"11:36:00 PM","Wednesday","Main street Station","Mechanical","8",16,"E/B","4032"
"2019-01-03",506,"12:06:00 AM","Thursday","Rusholme and College","Investigation","10",20,"E/B","4178"
"2019-01-03",511,"12:46:00 AM","Thursday","Bathurst Station (on Street)","Mechanical","5",10,"N/B","1091"
"2019-01-03",501,"4:53:00 AM","Thursday","Queen and Connaught","Mechanical","5",15,"W/B","4068"
"2019-01-03",512,"5:10:00 AM","Thursday","Bathurst and St Clair","Mechanical","8",14,"W/B","4494"
"2019-01-03",509,"5:41:00 AM","Thursday","Leslie Barns","Late Leaving Garage","1",1,"W/B","4517"
"2019-01-03",504,"5:42:00 AM","Thursday","Leslie Barns","Late Leaving Garage","1",1,"W/B","4477"
"2019-01-03",504,"5:42:00 AM","Thursday","Leslie Barns","Late Leaving Garage","1",1,"W/B","4436"
"2019-01-03",504,"5:44:00 AM","Thursday","Leslie Barns","Late Leaving Garage","1",1,"W/B","4423"
"2019-01-03",501,"5:56:00 AM","Thursday","Russell Yard","Late Leaving Garage","3",6,"W/B","4150"
"2019-01-03",506,"6:17:00 AM","Thursday","Russell Yard","Mechanical","12",24,"W/B","4123"
"2019-01-03",501,"6:24:00 AM","Thursday","Spadina / Queen","Mechanical","6",12,"E/B","4156"
"2019-01-03",504,"6:26:00 AM","Thursday","Dufferin Loop","Investigation","0",0,"E/B","4468"
"2019-01-03",512,"6:47:00 AM","Thursday","Bathurst & St Clair","Utilized Off Route","3",5,"E/B","4437"
"2019-01-03",510,"6:59:00 AM","Thursday","Leslie Barns","Late Leaving Garage","1",1,"W/B","4497"
"2019-01-03",504,"7:00:00 AM","Thursday","Leslie Barns","Late Leaving Garage","1",1,"W/B","4498"
"2019-01-03",510,"7:10:00 AM","Thursday","Leslie Barns","Late Leaving Garage","1",1,"W/B","4461"
"2019-01-03",509,"7:12:00 AM","Thursday","Leslie Barns","Late Leaving Garage","8",16,"W/B","4474"
"2019-01-03",510,"7:20:00 AM","Thursday","Leslie Barns","Late Leaving Garage","4",8,"W/B","4473"
"2019-01-03",504,"7:24:00 AM","Thursday","Leslie Barns","Late Leaving Garage","4",11,"W/B","4444"
"2019-01-03",504,"7:30:00 AM","Thursday","Leslie Barns","Mechanical","4",8,"W/B","4508"
"2019-01-03",504,"7:36:00 AM","Thursday","Leslie Barns","Late Leaving Garage","1",1,"W/B","4450"
"2019-01-03",504,"10:52:00 AM","Thursday","Dufferin Loop","Investigation","0",0,"E/B","4452"
"2019-01-03",501,"10:57:00 AM","Thursday","Neville Loop","Mechanical","6",12,"W/B","4150"
"2019-01-03",512,"11:02:00 AM","Thursday","St Clair West Stn","Held By","8",13,"W/B","4500"
"2019-01-03",512,"11:02:00 AM","Thursday","St Clair west stn","Held By","8",13,"E/B","4511"
"2019-01-03",501,"12:46:00 PM","Thursday","Queen and Church","Mechanical","5",10,"E/B","4021"
"2019-01-03",501,"2:23:00 PM","Thursday","Queen and Ossington","Investigation","8",13,"W/B","4432"
"2019-01-03",505,"2:55:00 PM","Thursday","Dundas West Station","Emergency Services","4",8,"W/B","8474"
"2019-01-03",512,"3:53:00 PM","Thursday","St. Clair West & Alberta","Investigation","102",106,"E/B","4460"
"2019-01-03",506,"4:26:00 PM","Thursday","Main station","Mechanical","6",12,"W/B","4073"
"2019-01-03",505,"5:26:00 PM","Thursday","Dundas West Station","Mechanical","4",8,"W/B","1389"
"2019-01-03",501,"5:53:00 PM","Thursday","Neville Loop","Mechanical","34",39,"W/B","4186"
"2019-01-03",501,"5:57:00 PM","Thursday","Neville Loop","Utilized Off Route","34",39,"W/B","4040"
"2019-01-03",503,"6:19:00 PM","Thursday","Glen Manor and Kingston road","Held By","65",79,"E/B","4143"
"2019-01-03",505,"7:29:00 PM","Thursday","Sumach and Dundas","Investigation","4",8,"W/B","9218"
"2019-01-03",504,"9:09:00 PM","Thursday","Broadview station","Mechanical","8",16,"W/B","4464"
"2019-01-03",504,"10:45:00 PM","Thursday","Broadview","Mechanical","10",20,"W/B","4462"
"2019-01-04",301,"3:32:00 AM","Friday","Humber Loop","Mechanical","1",1,"E/B","4150"
"2019-01-04",304,"4:53:00 AM","Friday","Leslie & Queen","Mechanical","0",0,"W/B","4515"
"2019-01-04",310,"4:58:00 AM","Friday","Spadina Station","Mechanical","10",20,"S/B","4424"
"2019-01-04",512,"5:25:00 AM","Friday","Leslie barns","Late Leaving Garage","1",1,"W/B","4416"
"2019-01-04",510,"5:39:00 AM","Friday","King Street","Mechanical","7",14,"S/B","4410"
"2019-01-04",501,"5:41:00 AM","Friday","Russell Yard","Late Leaving Garage","6",10,"W/B","4057"
"2019-01-04",504,"5:43:00 AM","Friday","Leslie Barns","Late Leaving Garage","1",1,"W/B","4462"
"2019-01-04",501,"5:46:00 AM","Friday","Russell Yard","Late Leaving Garage","2",6,"W/B","4032"
"2019-01-04",501,"5:50:00 AM","Friday","Russell Yard","Mechanical","4",8,"W/B","4011"
"2019-01-04",511,"6:06:00 AM","Friday","Mount Dennis Garage","Mechanical","6",12,"S/B","1007"
"2019-01-04",503,"6:12:00 AM","Friday","Russell Yard","Late Leaving Garage","0",0,"W/B","4199"
"2019-01-04",512,"6:13:00 AM","Friday","Leslie Barns","Held By","1",1,"W/B","4421"
"2019-01-04",509,"6:26:00 AM","Friday","Fleet Loop","Mechanical","8",16,"E/B","4458"
"2019-01-04",510,"6:35:00 AM","Friday","QQ","Mechanical","5",10,"W/B","4449"
"2019-01-04",509,"7:09:00 AM","Friday","Leslie Barns","Late Leaving Garage","6",13,"W/B","4487"
"2019-01-04",504,"7:15:00 AM","Friday","King & Bathurst","Utilized Off Route","6",11,"W/B","4513"
"2019-01-04",501,"7:55:00 AM","Friday","Roncevalles / Queen","Mechanical","6",12,"W/B","4204"
"2019-01-04",505,"8:16:00 AM","Friday","Roncesvalles and Dundas","Mechanical","4",8,"W/B","8545"
"2019-01-04",505,"8:54:00 AM","Friday","University Ave","Investigation","4",8,"E/B","8175"
"2019-01-04",506,"11:48:00 AM","Friday","Jarvis and Carlton","Held By","18",24,"W/B","4144"
